,Radix Sort(Base 10),Radix Sort(Base 2^16),Merge Sort,Shell Sort,Shell Sort Knuth's Sequence,Quick Sort(Median of Three),Quick Sort(Median of Five),Quick Sort(Median of Seven),STL Sort
1000,1000,2003,0,996,0,1000,0,998,999,0
2000,999,1003,0,1033,1003,0,963,2061,938,1036
3000,999,1002,998,1013,0,996,1970,2033,999,1007
4000,997,1018,1990,983,1010,1998,1000,4021,1932,1047
5000,2014,1953,2034,2001,998,2958,2039,3953,3004,1999
6000,2999,2004,1996,1999,2001,3000,3035,3963,2998,1001
7000,2000,2000,2011,2992,2002,2998,4001,4999,4000,2000
8000,3999,1001,2998,4001,1999,3000,4000,6007,4039,2957
9000,3007,999,3950,3996,3005,2995,4000,6003,5000,2000
10000,4000,2038,3000,5002,2998,3964,5035,7002,4961,2998
11000,3998,1001,4002,4960,4005,3994,7004,8048,4998,3952
12000,4002,1996,5002,5955,3997,3999,6000,7997,6000,4014
13000,4998,1001,6003,5996,6000,4000,6997,9001,8001,5999
14000,7007,2001,6999,6998,4997,5001,7998,8998,9003,4997
15000,6004,1996,6000,5999,7001,5060,8942,10045,10001,4953
16000,5983,1970,6062,7982,5986,7000,7948,11000,6997,5001
17000,5999,1000,7000,6999,7041,6001,9982,12015,8005,5997
18000,6018,1987,8978,10007,7010,6002,9959,12999,10040,4963
19000,5998,1004,7961,7998,7998,9002,46002,36997,19027,9006
20000,8990,2999,9999,11016,9983,8038,15968,17036,13967,7036
21000,10092,1924,8997,10009,8953,6998,11999,14040,10962,6037
22000,6999,3006,7994,9963,9039,8000,11999,14962,11039,5997
23000,7006,3959,10993,13002,12000,10998,19000,18000,13048,7005
24000,8000,4000,11001,13993,10958,10015,14985,19999,14046,9002
25000,10950,3051,10998,13000,10997,9000,13954,18990,13994,8025
26000,10977,2010,11957,13993,13052,10958,15993,19995,15052,8999
27000,12944,2000,13045,15955,14000,10004,16036,20961,17049,9005
28000,10007,2000,13952,15000,13050,10949,15037,19963,16002,9994
29000,11064,2978,14000,16019,11995,12949,14994,19639,17959,9051
30000,8995,3000,12001,14000,12000,9995,18007,20998,15993,9008
31000,10003,2964,13035,14950,13048,9999,17001,22999,16000,9999
32000,10998,3006,13995,18952,12998,11000,16999,22000,17042,9999
33000,11041,3002,12998,16999,13996,11006,17958,21000,17000,9998
34000,11001,2999,14001,16999,14000,11999,17002,25997,18000,9998
35000,12000,3000,13000,17000,13997,11999,17999,23001,18999,10000
36000,10998,4000,14000,17000,15999,14999,19040,29959,21048,12001
37000,11998,4005,15996,19000,17002,12997,20002,25998,18999,10950
38000,13000,4000,15040,17999,16000,13003,19995,28998,22006,15003
39000,13040,3003,16000,20958,16999,13998,21000,25950,21000,12000
40000,11998,4001,15999,20000,17000,14002,20997,32000,21999,13001
41000,13001,4000,17000,27000,17999,15042,22996,28001,22004,11996
42000,13001,4000,16999,21001,17963,16994,24054,28988,22998,13002
43000,13999,4003,16996,22002,18997,15002,22999,28998,26960,18005
44000,18996,4000,19999,22000,19038,16005,45007,30999,23989,14008
45000,15007,3950,19047,22999,20004,15995,24954,33039,23998,13999
46000,15039,3000,17996,21999,19999,17001,23957,31052,25999,15000
47000,14998,4000,20000,25948,21000,16999,25000,31999,26000,15000
48000,15000,4000,19999,25000,21000,16999,26000,32999,31000,15000
49000,15000,4000,21000,26000,23042,19005,27004,34990,30008,15949
50000,16000,4000,21054,25987,25990,17982,27039,34035,27004,14995
51000,16000,4997,20998,25010,24999,19001,30990,35958,30998,16000
52000,17000,5038,21004,25996,25003,18998,27001,35001,28960,16040
53000,17002,4001,22956,29050,24001,19999,28953,37048,32998,17001
54000,18000,4946,24001,27998,24000,20040,29999,36003,29999,17000
55000,17998,4960,23045,26994,24000,20002,29000,37997,32958,17042
56000,18000,5000,23003,28996,25003,19999,29998,38001,33002,16995
57000,18999,5001,23998,31998,25000,20999,43033,44014,31997,17997
58000,18956,5040,24001,28000,25997,25962,32037,39002,32000,18004
59000,18999,5000,25000,28999,26000,23001,30998,47000,32999,17996
60000,19000,5000,25000,30000,27000,21998,32000,39995,32994,19000
61000,24002,3999,24998,31000,26999,22999,32000,40995,33997,19000
62000,19999,5001,25999,37037,27003,22999,32997,41999,34960,19000
63000,20000,5000,25998,33000,28999,25040,32997,44006,36004,20957
64000,21000,4952,27051,37001,29997,22998,34950,46002,37051,19946
65000,21040,5003,27998,32965,30013,25000,34001,46983,37008,19998
66000,22001,5000,28952,40014,29998,24998,36000,45001,38995,20045
67000,22000,4998,28005,36993,30958,23997,36038,45001,40999,20998
68000,21004,5002,28998,35002,32997,27990,51003,48000,42954,21040
69000,21002,4997,29002,36000,32997,25005,37002,47957,39041,21957
70000,22040,5003,29002,37999,33975,25958,38038,50958,40040,20999
71000,23996,4961,30037,37002,33999,25998,38002,47961,40999,21997
72000,28002,7000,32000,40000,35000,26999,39000,49999,42000,23000
73000,22992,4996,33039,38998,37960,31052,46002,57977,50003,23999
74000,26000,5002,31961,39997,34000,27999,39999,57066,46948,32984
75000,30034,6962,40000,44002,40044,33999,48948,61003,50050,28970
76000,29937,7001,35997,47953,42008,32036,50959,60032,51037,26963
77000,28038,7009,38952,51000,55995,32037,43010,54002,44988,32009
78000,25951,6051,39996,48952,42000,30019,42034,62962,68976,31003
79000,40985,10010,42018,58962,46988,38038,57966,72903,71041,32992
80000,34986,8965,46952,57998,44999,35998,47038,62958,47999,29053
81000,32039,11001,52997,51996,41002,39998,58955,81997,68057,30954
82000,31951,7042,40040,67999,46001,38049,54949,64047,53999,30953
83000,30997,7046,35953,47001,44999,33999,46001,58001,48998,26001
84000,33029,5962,47037,86955,59994,41969,61014,66997,59960,33000
85000,31032,8006,41960,56999,54009,43047,74991,73936,63985,29036
86000,32954,6000,44999,50001,50030,41994,60001,68050,58954,34039
87000,32023,6992,45996,57063,48990,38967,58990,72002,62048,33999
88000,30987,6994,43995,55004,51039,32999,51955,65000,51999,28038
89000,28960,5998,40999,79996,71997,35997,50051,62999,57999,29005
90000,29985,7001,42947,54051,45002,37950,53996,69041,63041,35955
91000,32000,7042,41955,52026,50051,38987,52031,64999,54002,30002
92000,31991,9967,60004,80022,65002,51000,71955,71997,61957,31001
93000,30998,7000,40041,48997,49001,34960,49995,67958,56040,30002
94000,31000,6996,53964,52999,45999,36999,53000,66000,61042,31959
95000,39993,7000,41000,51001,45994,35997,54988,67038,55956,32002
96000,32004,7995,42043,58958,46997,35998,52996,67036,56010,30952
97000,35952,5999,67047,53951,51006,44024,56958,70999,58041,31002
98000,30998,7000,42000,55986,53010,38042,54999,71011,61970,33006
99000,33055,7007,48979,60962,73990,40040,54001,73958,58001,30999
100000,32009,7993,43001,57998,51961,45998,57039,68950,66050,32001
101000,33000,8001,49999,59042,50011,37997,55993,71101,61260,31999
102000,31999,7000,43997,54999,49996,40001,64051,73988,61016,32997
103000,32002,7000,44997,61034,49997,40000,58001,71978,69992,46967
104000,34001,7999,46000,58999,49998,40996,60997,73998,62001,34998
105000,51040,8005,45996,63002,50997,40003,57999,72998,68012,37947
106000,34998,6998,45950,60040,55956,42998,63031,74012,61999,33999
107000,37006,8005,48000,64029,54053,41996,59990,74000,63012,41000
108000,33998,6997,48944,57999,54999,41999,62000,75003,63998,34985
109000,34994,7000,48000,62000,54011,42948,61987,77000,69957,39999
110000,40046,6994,50998,61047,55952,43019,63035,100008,71565,37058
111000,47953,11000,57988,68031,55002,44000,62000,79999,66001,35959
112000,36003,7998,51000,69971,55989,44041,63010,80000,68947,43002
113000,35999,7996,51041,61001,56003,44001,67003,81004,69003,37005
114000,37000,8963,55987,64039,57995,43994,63965,86058,86931,37000
115000,40001,8999,50000,68999,61998,45000,73001,87047,68991,36994
116000,36998,8001,51999,65999,60000,45040,68956,81999,69999,39039
117000,56009,8001,56947,65038,59010,45999,67000,90964,79035,44951
